#,dvh.csv
,BODY (1)(volume: 14367.16),2Cm (2)(volume: 362.15),Bronchial Tree (3)(volume: 19.19),Chest Wall (4)(volume: 417.01),Contrast (5)(volume: 450.02),Cord (6)(volume: 7.63),Esophagus (7)(volume: 38.25),Great Vessels (8)(volume: 93.13),Lung_Lt (9)(volume: 943.06),Lung_Rt (10)(volume: 1279.22),Lung_Total (11)(volume: 2222.28),Rib (12)(volume: 37.95),Ring_101 (13)(volume: 27.46),Skin (14)(volume: 247.08),IGTV1 (15)(volume: 14.43),PTV1 (16)(volume: 39.99),IGTV2 (17)(volume: 0.99),PTV2 (18)(volume: 6.52),PTV2 sep (19)(volume: 5.83),PTV sum (20)(volume: 46.24),Ring_102 (21)(volume: 46.63),Ring_103 (22)(volume: 182.87),Ring_104 (23)(volume: 5.44),Ring_105 (24)(volume: 8.19),Ring_106 (25)(volume: 25.34),CouchSurface (26)(volume: 1235.44),CouchInterior (27)(volume: 7933.69),PRV1 (28)(volume: 2053.95),PRV2 (29)(volume: 1896.05),PRV3 (30)(volume: 1716.00)
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NaN,100,100,100,
0.0558027,80.4935,100,100,100,99.8194,100,91.9812,100,95.9256,99.9721,98.2551,100,100,99.9768,100,100,100,100,100,100,100,99.956,100,100,100,55.172,NaN,100,100,100,
0.111605,67.2267,100,100,100,98.8463,100,80.2673,100,87.3785,98.9736,94.0536,100,100,99.8024,100,100,100,100,100,100,100,99.9182,100,100,100,29.0505,NaN,100,100,100,
0.167408,58.1039,100,100,100,98.3996,100,72.3283,100,79.5141,96.2741,89.1625,100,100,99.5893,100,100,100,100,100,100,100,99.8899,100,100,100,7.75261,NaN,99.9996,99.9996,99.9996,
0.223211,51.5306,100,100,100,97.8223,100,63.2823,100,70.8357,92.085,83.0686,100,100,99.1138,100,100,100,100,100,100,100,99.8658,100,100,100,1.2304,NaN,99.9904,99.9896,99.9886,
0.279014,46.7251,100,100,100,96.5182,97.8,55.4331,100,64.196,87.367,77.5351,100,100,98.5711,100,100,100,100,100,100,100,99.8406,100,100,100,0.29399,NaN,99.9889,99.988,99.9868,
0.334816,43.1774,100,100,100,93.1681,92.8,49.2744,100,59.6767,83.3397,73.2991,100,100,97.7744,100,100,100,100,100,100,100,99.8186,100,100,100,0,NaN,99.9807,99.9791,99.9769,
0.390619,40.3929,100,100,100,88.6318,88.075,45.0805,100,56.1908,79.4877,69.6024,100,100,97.0148,100,100,100,100,100,100,100,99.7987,100,100,100,0,NaN,99.9726,99.9703,99.9672,
0.446422,38.1921,100,100,100,84.1476,84.1,42.6171,100,53.3049,76.2405,66.5085,100,100,96.1302,100,100,100,100,100,100,100,99.7714,100,100,100,0,NaN,99.9573,99.9537,99.9489,
0.502224,36.3816,99.9742,100,100,79.5896,80.55,40.8418,100,50.9993,73.3755,63.8809,100,100,95.1004,100,100,100,100,100,100,100,99.7473,100,100,100,0,NaN,99.9278,99.9218,99.9136,
0.558027,34.863,99.7746,100,99.9369,75.4983,77.95,39.3507,100,48.9048,70.8871,61.5596,100,100,93.6715,100,100,100,100,100,100,100,99.7326,100,100,100,0,NaN,99.8944,99.8856,99.8736,
0.61383,33.6042,99.4575,100,99.4434,71.8571,74.3,38.0791,100,47.3823,68.6774,59.6415,100,100,92.0982,100,100,100,100,100,100,100,99.7242,100,100,100,0,NaN,99.8409,99.8277,99.8096,
0.669633,32.5101,98.9398,100,98.8543,68.6881,70.725,36.9321,100,45.8768,66.7137,57.8722,99.9296,100,90.4755,100,100,100,100,100,100,100,99.7053,100,100,100,0,NaN,99.7691,99.7499,99.7237,
0.725435,31.6108,98.2962,100,98.2075,65.9001,68.2,35.855,100,44.8045,64.9691,56.4128,99.7286,100,88.8729,100,100,100,100,100,100,100,99.6875,100,100,100,0,NaN,99.6487,99.6194,99.5795,
0.781238,30.8208,97.4335,100,97.4922,63.7139,66.3,34.8028,100,43.7576,63.3558,55.0399,99.4321,100,87.3962,100,100,100,100,100,100,100,99.676,100,100,100,0,NaN,99.4789,99.4355,99.3766,
0.837041,30.13,96.5144,100,96.7805,61.7668,64.025,33.6209,99.8587,42.7421,61.9099,53.7769,98.9798,100,85.9981,100,100,100,100,100,100,100,99.6581,100,100,100,0,NaN,99.3012,99.243,99.1641,
0.892844,29.5212,95.5511,100,96.147,60.0181,64.025,32.6684,99.3446,42.1397,60.5715,52.7507,98.1909,100,84.5137,100,100,100,100,100,100,100,99.6455,100,100,100,0,NaN,99.058,98.9796,98.8734,
